"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"demo";"Demo version";"Version démo";"Versione di prova";"Demo-Version";"Versión demo";"Демоверсия";"Wersja demo";"Demoverze";"Demo sürümü";"体\t验\t版";"デモ\t版";"Versão Demo";"Демоверсія";"Demo verzija";"Demóverzió";"데모 버전";"Дэмаверсія";"Versiune demo";"展\t示\t版\t本";"演\t示\t版";"Phiên bản thử nghiệm";;
"mainmenu/btnExit";"Exit";"Quitter";"Esci";"Verlassen";"Salir";"Выход";"Wyjdź";"Konec";"Çıkış";"退\t出\t游\t戏";"終了";"Sair";"Вихід";"Izlaz";"Kilépés";"나가기";"Выхад";"Ieșire";"退\t出\t遊\t戲";"退\t出\t游\t戏";"Thoát";;
"mainmenu/btnOptions";"Options";"Options";"Opzioni";"Einstellungen";"Opciones";"Настройки";"Opcje";"Možnosti";"Seçenekler";"游\t戏\t选\t项";"オプション";"Opções";"Налаштування";"Opcije";"Beállítások";"설정";"Налады";"Opțiuni";"設\t定";"游\t戏\t选\t项";"Tùy chỉnh";;
"mainmenu/btnCredits";"Credits";"Crédits";"Riconoscimenti";"Mitwirkende";"Créditos";"Титры";"Twórcy gry";"Autoři";"Emeği Geçenler";"制\t作\t团\t队";"クレジット";"Créditos";"Титри";"Zasluge";"Készítők";"제작진";"Стваральнікі гульні";"Acreditări";"製\t作\t團\t隊";"制\t作\t团\t队";"Giới Thiệu";;
"multiplayer/creditsMode";"Credits";"Crédits";"Riconoscimenti";"Mitwirkende";"Créditos";"Титры";"Twórcy gry";"Autoři";"Emeği Geçenler";"制\t作\t团\t队";"クレジット";"Créditos";"Титри";"Zasluge";"Készítők";"제작진";"Стваральнікі гульні";"Acreditări";"製\t作\t團\t隊";"制\t作\t团\t队";"Giới thiệu";;
"mainmenu/btnDemoCampaign";"Historical Campaign (TGS)";"Campagne historique (TGS)";"Campagna storica (TGS)";"Historischer Kampagne (TGS)";"Campaña Histórica (TGS)";"Историческая Кампания (TGS)";"Kampania historyczna (TGS)";"Historická kampaň (TGS)";"Tarihi Harekat (TGS)";"历\t史\t战\t役\t（TGS）";"ヒストリカル キャンペーン";"Campanha Histórica (TGS)";"Історична Кампанія (TGS)";"Istorijska Kampanja (TSG)";"Történelmi hadjárat (TGS)";"역사 기반 캠페인 (TGS)";"Гістарычная кампанія (TGS)";"Campanie istorică (TGS)";"歷\t史\t戰\t役 (TGS)";"历\t史\t战\t役\t（TGS）";"Chiến dịch nâng cao (TGS)";;
"mainmenu/btnMissions";"Missions";"Missions";"Missioni";"Missionen";"Misiones";"Миссии";"Misje";"Mise";"Görevler";"任\t务\t模\t式";"ミッション";"Missões";"Місії";"Misije";"Küldetések";"임무";"Місіі";"Misiuni";"任\t務\t模\t式";"任\t务\t模\t式";"Nhiệm vụ";;
"mainmenu/btnPvP";"Random Battles";"Batailles Aléatoires";"Battaglie Casuali";"Zufallsschlachten";"Batallas Aleatorias";"Случайные бои";"Bitwy losowe";"Náhodné bitvy";"Rastgele savaşlar";"多\t人\t游\t戏";"ランダムバトル";"Batalhas aleatórias";"Випадкові бої";"Nasumične borbe";"Véletlenszerű csaták";"무작위 전투";"Выпадковыя баі";"Lupte aleatoare";"隨\t機\t戰\t鬥";"多\t人\t游\t戏";"Trận chiến ngẫu nhiên";;
"mainmenu/btnPvE";"Missions";"Missions";"Missioni";"Missionen";"Misiones";"Миссии";"Misje";"Mise";"Görevler";"任\t务\t模\t式";"ミッション";"Missões";"Місії";"Misije";"Küldetések";"임무";"Місіі";"Misiuni";"任\t務\t模\t式";"任\t务\t模\t式";"Nhiệm vụ";;
"mainmenu/btnTournamentsAndEvents";"Events & Tournaments";"Événements & Tournois";"Eventi e Tornei";"Ereignisse & Turniere";"Eventos & Torneos";"События и Турниры";"Wydarzenia i Turnieje";"Eventy a turnaje";"Etkinlikler & Turnuvalar";"军\t事\t行\t动\t与\t竞\t技\t场";"イベント & トーナメント";"Eventos & Torneios";"Події та турніри";"Eventi & Turniri";"Események és bajnokságok";"이벤트 & 토너먼트";"Падзеі і турніры";"Evenimente și turnee";"活\t動\t與\t錦\t標\t賽";"新\t玩\t法：\t特\t别\t行\t动";"Sự kiện & Giải đấu";;
"mainmenu/btnBattleTasks";"Daily Tasks";"Objectifs quotidiens";"Missioni Giornaliere ";"Tägliche Aufträge";"Tareas Diarias";"Ежедневные задачи";"Dzienne Zadania";"Bitevní úkoly";"Günlük Görevler";"作\t战\t任\t务";"戦闘任務";"Tarefas Diárias";"Щоденні завдання";"Borbeni zadaci";"Napi feladatok";"전투 과제";"Штодзённыя задачы";"Obiective zilnice";"每\t日\t任\t務";"作\t战\t任\t务";"Nhiệm vụ";;
"mainmenu/btnBattleTasksHard";"Special Tasks";"Objectifs spéciaux";"Missioni Speciali";"Sonderaufträge";"Tareas Especiales";"Особые задачи";"Zadania specjalne";"Speciální úkoly";"Özel Görevler";"特\t别\t任\t务";"特別な\tタスク";"Tarefas Especiais";"Спеціальні завдання";"Specijalni zadaci";"Különleges feladatok";"특별 임무";"Адмысловыя задачы";"Obiective speciale";"特\t殊\t任\t務";"特\t别\t任\t务";"Nhiệm vụ Đặc biệt";;
"mainmenu/btnPersonalUnlocks";"War Diaries";"Objectifs personnels";"Diari di Guerra";"Kriegstagebücher";"Diarios de Guerra";"Военные дневники";"Dzienniki Wojny";"Válečné deníky";"Savaş Günlükleri";"作\t战\t日\t志";"個人課題";"Diários de Guerra";"Військові щоденники";"Personalni zadaci";"Háborús naplók";"개인 과제";"Ваенныя дзённікі";"Jurnale de război";"戰\t爭\t日\t誌";"作\t战\t日\t志";"Chiến ký";;
"mainmenu/btnTournament";"Rankings Challenge";"Batailles Classées";"Sfida di Classifica";"Ranglisten Herausforderung";"Desafío de Clasificación";"Рейтинговые бои";"Wyzwanie Rankingowe";"Rankings Challenge";"Rankings Challenge";"天\t梯\t挑\t战";"ランキングチャレンジ";"Desafio de classificação";"Рейтингові бої";"Turniri";"Rangsorolt Csaták";"랭킹 챌린지";"Рэйтынгавыя баі";"Turnee";"天\t梯\t挑\t戰";"竞\t技\t场";"Thử thách Xếp hạng";;
"mainmenu/btnTournamentLb";"Tournament Leaderboard";"Classement des tournois";"Classifica torneo";"Turnier-Bestenliste";"Marcador del torneo";"Турнирные результаты";"Ranking Turniejowy";"Turnajový žebříček";"Turnuva Liderlik Tablosu";"竞\t技\t场\t排\t行\t榜";"トーナメントランキング";"Torneio Leaderboard";"Турнірні результати";"Tabela turnira";"Bajnokságranglista";"토너먼트 순위표";"Турнірныя вынікі";"Clasament turneu";"錦\t標\t賽\t排\t行\t榜";"竞\t技\t场\t排\t行\t榜";"Bảng Xếp Hạng Giải Đấu";;
"mainmenu/btnEvents";"Events";"Évènements";"Eventi";"Ereignisse";"Eventos";"События";"Wydarzenia";"Eventy";"Etkinlikler";"特\t殊\t活\t动";"イベント";"Eventos";"Події";"Eventi";"Események";"이벤트";"Падзеі";"Evenimente";"軍\t事\t行\t動\t與\t錦\t標\t賽";"新\t玩\t法：\t特\t别\t行\t动";"Sự Kiện";;
"mainmenu/btnSkirmish";"Custom Battles";"Batailles personnalisées";"Battaglie Personalizzate";"Eigene Schlachten";"Batallas personalizadas";"Полигон";"Bitwy Niestandardowe";"Vlastní bitvy";"Özel Savaşlar";"自\t定\t义\t战\t斗";"カスタムバトル";"Batalhas personalizadas";"Полігон";"Podesive bitke";"Egyéni csaták";"사용자 정의 전투";"Палігон";"Lupte personalizate";"自\t定\t義\t戰\t鬥";"自\t定\t义\t战\t斗";"Chế Độ Tự Do";;
"mainmenu/btnCampaign";"Historical Campaign";"Campagne historique";"Campagna Storica";"Historische Kampagne";"Campaña Histórica";"Историческая кампания";"Kampania Historyczna";"Historická kampaň";"Tarihi Harekat";"历\t史\t战\t役";"ヒストリカルキャンペーン";"Campanha histórica";"Історична кампанія";"Istorijska kampanja";"Történelmi hadjárat";"역사 기반 캠페인";"Гістарычная кампанія";"Campanii istorice";"歷\t史\t戰\t役\t（DLC）";"历\t史\t战\t役\t（DLC）";"Chiến Dịch Nâng Cao";;
"mainmenu/btnDynamic";"Dynamic Campaign";"Campagne dynamique";"Campagna dinamica";"Dynamische Kampagne";"Campaña dinámica";"Динамическая кампания";"Kampania Dynamiczna";"Dynamická kampaň";"Dinamik Harekat";"动\t态\t战\t役";"ダイナミック キャンペーン";"Campanha dinâmica";"Динамічна кампанія";"Dinamična kampanja";"Dinamikus hadjárat";"동적 캠페인";"Дынамічная кампанія";"Campanii dinamice";"動\t態\t戰\t役";"动\t态\t战\t役";"Chiến Dịch Lịch Sử";;
"mainmenu/btnSingleMission";"Single Missions";"Missions solo";"Missioni singole";"Einzelmissionen";"Misiones Individuales";"Отдельные миссии";"Pojedyncze Misje";"Jednotlivé mise";"Tek Görevler";"单\t人\t任\t务";"シングルミッション";"Missões individuais";"Одиночні місії";"Pojedinačne misije";"Egyszemélyes küldetések";"단독 임무";"Асобныя місіі";"Misiuni individual";"單\t人\t任\t務";"单\t人\t任\t务";"Nhiệm Vụ Đơn";;
"mainmenu/btnSingleLocalMission";"Start Mission Offline";"Commencer la mission hors connexion";"Inizia missione offline";"Mission offline starten ";"Comenzar la misión desconectado";"Запустить миссию офлайн";"Rozpocznij misję w trybie offline";"Spustit offline misi";"Çevrimdışı Göreve Başla";"开\t始\t离\t线\t任\t务";"ミッションを\tオフラインで\t開始";"Iniciar missão off-line";"Запустити місію офлайн";"Započni misiju van mreže";"Küldetés indítása offline módban";"오프라인으로 임무 시작";"Пачаць місію ў пазасеткавым рэжыме";"Start misiune deconectat";"開\t始\t離\t線\t任\t務";"开\t始\t脱\t机\t游\t戏";"Bắt đầu nhiệm vụ offline";;
"mainmenu/btnSingleOnlineMission";"Start Mission";"Commencer la mission";"Inizia missione";"Mission starten";"Comenzar misión";"Запустить миссию";"Rozpocznij misję";"Spustit misi";"Göreve Başla";"开\t始\t游\t戏";"ミッションを\t開始";"Começar a missão";"Запустити місію";"Započni misiju";"Küldetés indítása";"임무 시작";"Пачаць місію";"Start misiune";"開\t始\t任\t務";"开\t始\t游\t戏";"Bắt đầu nhiệm vụ";;
"mainmenu/btnUserMission";"User Missions";"Missions de l'utilisateur";"Missioni utente";"Selbsterstellte Missionen";"Misiones del usuario";"Пользовательские миссии";"Misje użytkownika";"Uživatelské mise";"Kullanıcı Görevleri";"玩\t家\t自\t创\t任\t务";"ユーザーミッション";"Missões de utilizador";"Користувацькі місії";"Korisničke misije";"Felhasználói küldetések";"사용자 임무";"Карыстальніцкія місіі";"Misiuni utilizatori";"玩\t家\t自\t創\t任\t務";"玩\t家\t自\t创\t任\t务";"Nhiệm Vụ Cá Nhân";;
"mainmenu/btnShop";"Research";"Recherche";"Ricerca";"Forschung";"Investigación";"Исследования";"Badania";"Výzkum";"Araştır";"科\t技\t树";"研究";"Pesquisa";"Дослідження";"Istraživanje";"Fejlesztés";"연구";"Даследаванні";"Cercetare";"研\t發";"科\t技\t树";"Phương Tiện";;
"mainmenu/btnCustomMatch";"Find Session";"Trouver une session";"Trovare sessione";"Spielsitzung suchen";"Buscar sesión";"Поиск сессии";"Znajdź sesję";"Najít střetnutí";"Oturum Bul";"搜\t寻\t游\t戏";"セッションを\t検索";"Encontrar a sessão";"Пошук сесії";"Pronađi sesiju";"Játszma keresése";"세션 검색";"Пошук сеанса";"Găsire sesiune";"搜\t尋\t遊\t戲";"搜\t寻\t游\t戏";"Tìm phòng";;
"mainmenu/btnTraining";"Mission Editor";"Éditeur de mission";"Editor missione";"Missionseditor";"Editor de misiones";"Редактор миссий";"Edytor misji";"Editor misí";"Görev Editörü";"任\t务\t编\t辑\t器";"ミッションエディット";"Editor de missão";"Редактор місій";"Uređivač misija";"Küldetésszerkesztő";"임무 편집기";"Рэдактар місій";"Editor de misiuni";"任\t務\t編\t輯\t器";"任\t务\t编\t辑\t器";"Chỉnh sửa nhiệm vụ";;
"mainmenu/btnBuilder";"Mission Editor";"Éditeur de mission";"Editor missione";"Missionseditor";"Editor de misiones";"Редактор миссий";"Edytor misji";"Editor misí";"Görev Editörü";"任\t务\t编\t辑\t器";"ミッションエディット";"Editor de missão";"Редактор місій";"Uređivač misija";"Küldetésszerkesztő";"임무 편집기";"Рэдактар місій";"Editor de misiuni";"任\t務\t編\t輯\t器";"任\t务\t编\t辑\t器";"Chỉnh sửa nhiệm vụ";;
"mainmenu/btnTutorial";"Tutorial";"Didacticiel";"Tutorial";"Ausbildungskurse";"Tutorial";"Курс обучения";"Samouczek";"Výcvik";"Eğitim";"新\t手\t教\t程";"チュートリアル";"Tutorial";"Курс навчання";"Tutorijal";"Kiképzés";"훈련 과정";"Вучэбны курс";"Instruire";"新\t手\t教\t學";"新\t手\t教\t程";"Hướng Dẫn";;
"mainmenu/btnMedal";"Medals";"Médailles";"Medaglie";"Orden";"Medallas";"Награды";"Odznaczenia";"Vyznamenání";"Madalyalar";"勋\t章";"メダル";"Medalhas";"Нагороди";"Medalje";"Medálok";"훈장";"Узнагароды";"Medalii";"勳\t章";"勋\t章";"Huy chương";;
"mainmenu/btnUnlockMedal";"Medals";"Médailles";"Medaglie";"Orden";"Medallas";"Награды";"Odznaczenia";"Vyznamenání";"Madalyalar";"勋\t章";"メダル";"Medalhas";"Нагороди";"Medalje";"Medálok";"훈장";"Медалі";"Medalii";"勳\t章";"勋\t章";"Huy chương";;
"mainmenu/btnExtra";"Extras";"Extras";"Extra";"Extras";"Extras";"Дополнительно";"Dodatki";"Bonusy";"Ekstralar";"其\t他";"エキストラ";"Extras";"Додатково";"Dodaci";"Extrák";"엑스트라";"Дадаткі";"În plus";"其\t他";"其\t他";"Đặc biệt";;
"mainmenu/btnQuickMatch";"Quick Match";"Partie rapide";"Partita veloce";"Schnelles Spiel";"Partida rápida";"Быстрый старт";"Szybka rozgrywka";"Rychlá bitva";"Hızlı Maç";"快\t速\t匹\t配";"クイックマッチ";"Partida rápida";"Швидкий старт";"Brzi meč";"Gyors csata";"빠른 매치";"Хуткі старт";"Potrivire rapidă";"快\t速\t配\t對";"快\t速\t匹\t配";"Vào nhanh";;
"mainmenu/btnProfileOpt";"Profile Options";"Options du profil";"Opzioni profilo";"Profileinstellungen";"Opciones de Perfil";"Настройки профиля";"Ustawienia Profilu";"Možnosti profilu";"Profil Seçenekleri";"档\t案\t选\t项";"プロフィールオプション";"Opções de perfil";"Налаштування профілю";"Opcije profila";"Profilbeállítások";"프로필 설정";"Налады профілю";"Opțiuni profil";"個\t人\t資\t料\t設\t定";"档\t案\t选\t项";"Tùy chỉnh thông tin";;
"mainmenu/btnPrestige";"Prestige";"Prestige";"Prestigio";"Prestige";"Prestigio";"Престиж";"Prestiż";"Prestiž";"Prestij";"威\t望";"プレスティージ";"Prestígio";"Престиж";"Prestiž";"Rendfokozat";"명성";"Прэстыж";"Prestigiu";"聲\t望";"威\t望";"Uy tín";;
"mainmenu/btnOnline";"Play Online";"Jouer en ligne";"Gioca online";"Online spielen";"Jugar en línea";"Играть по сети";"Graj online";"Hrát online";"Çevrimiçi oyna";"在\t线\t游\t戏";"オンラインプレイ";"Jogar on-line";"Грати по мережі";"Igrajte online";"Online játék";"온라인 플레이";"Гуляць па сетцы";"Joc online";"線\t上\t遊\t戲";"在\t线\t游\t戏";"Chơi online";;
